formula,No,S_Phase,Phase,delta,Tm,D_Tm (K),?Hmix (kJ/mol),elec_diff,VEC,modulus_calc,D_Bulk (GPa),Tm,composition_norm
Ni3Sn4,2,IM,IM,0.126793306,1029.188571,605.1884496,0.040397686,1.938571429,6.571428571,110.2857143,60.37434244,0,Ni3Sn4
Pd75Si25,2,AM,AM,0.072852459,1792.7875,61.0764416,5.953924651,2.125,8.5,160.0,34.64101615,0,Pd75Si25
Pd82Si18,2,AM,AM,0.063885438,1802.661,54.18964042,8.654974969,2.146,8.92,165.6,30.73499634,0,Pd82Si18
Pd95Si5,2,AM,AM,0.035474579,1820.9975,30.7411348,9.709447397,2.185,9.7,176.0,17.43559577,0,Pd95Si5
Pt3Al,2,IM,IM,0.013935685,1764.4175,479.7477628,4.763139721,2.1125,8.25,191.5,66.68395609,0,AlPt3
Pt5Al3,2,IM,IM,0.015518142,1625.92625,536.3743048,1.331338025,2.02875,7.375,172.25,74.55492941,0,Al3Pt5
PtAl2,2,IM,IM,0.014970503,1302.78,522.2832107,2.304644324,1.833333333,5.333333333,127.3333333,72.5962962,0,Al2Pt
Sb3Y4,2,IM,IM,0.146013213,1415.334286,443.0190068,0.68676067,1.575714286,3.857142857,41.42857143,0.494871659,0,Sb3Y4
Sb3Y5,2,IM,IM,0.140619088,1463.2925,433.3965189,2.057522403,1.53125,3.75,41.375,0.484122918,0,Sb3Y5
SbY,2,IM,IM,0.150702427,1351.39,447.61,0.0,1.635,4.0,41.5,0.5,0,SbY
Si2V,2,IM,IM,0.063643515,1852.333333,233.8166423,2.514157444,1.81,4.333333333,120.0,28.28427125,0,Si2V
W6Fe7,2,IM,IM,0.048349418,2680.538462,939.2088828,0.0,2.074615385,7.076923077,234.6153846,69.79259214,0,Fe7W6
Zr50Ni50,2,AM,AM,0.125307125,1928.0,200.0,0.0,1.62,7.0,90.0,90.0,0,Ni50Zr50
Zr70Pd30,2,AM,AM,0.068084664,2038.015,137.454358,6.672230212,1.591,5.8,54.0,82.48636251,0,Pd30Zr70
ZrTi,2,AM,AM,0.046003263,2034.5,93.5,0.0,1.435,4.0,55.0,55.0,0,TiZr
Al2B6Co20,3,IM,IM,0.150588649,1832.890714,343.3211797,3.130342164,1.895,7.285714286,182.0,34.40099666,0,Al2B6Co20
AlB2Ni7,3,IM,IM,0.148890562,1772.747,371.8248218,3.285848444,1.906,7.9,178.4,38.29151342,0,AlB2Ni7
AlBe4Mn,3,IM,IM,0.10734662,1448.745,230.9237936,3.224137362,1.573333333,3.0,119.3333333,19.72026594,0,AlBe4Mn
AlBeTi,3,IM,IM,0.115571789,1478.156667,415.373666,9.026709338,1.573333333,3.0,105.3333333,22.29100466,0,AlBeTi
Al2CaSi2,3,IM,IM,0.210275543,1271.188,345.9193042,8.879718914,1.604,3.2,73.8,30.36050065,0,Al2CaSi2
AlCoCu,3,IM,IM,0.054240906,1101.783,278.0662945,4.272797678,1.695,5.2,99.2,36.91287038,0,AlCoCu
Al6CoMn,3,IM,IM,0.044375959,1110.9775,313.6906122,2.262942917,1.63625,4.25,94.5,35.38007914,0,Al6CoMn
Al85.8Co9.1Y5.1,3,AM,AM,0.069566942,1053.55426,295.2322661,5.52776373,1.61468,3.546,83.679,31.42871233,0,Al85.8Co9.1Y5.1
Al18Cr2Mg3,3,IM,IM,0.056489644,1040.498261,351.6752965,3.440187489,1.575217391,3.130434783,79.26086957,26.98665917,0,Al18Cr2Mg3
Al13Cr4Si4,3,IM,IM,0.086327848,1314.43381,508.9099509,4.620131185,1.674761905,3.761904762,96.57142857,32.10187864,0,Al13Cr4Si4
